卢梭的《社会契约论》是一部（ ）著作,,选项 A ,,,,,,,
《社会契约论》探讨的原理是（ ）,,选项 A ,,,,,,,
“他是法国大革命的先驱。”，罗伯斯庇尔的这句话指的是谁？,,选项 B ,,,,,,,
《社会契约论》的主旨是为人民（ ）的建立奠定理论基础。,,选项 B ,,,,,,,
《社会契约论》正确回答了历史进程提出的问题，问题是（ ）,,选项 B ,,,,,,,
1789年的法国大革命最终选择了卢梭的主张，实行（ ）,,选项 B ,,,,,,,
卢梭的座右铭是（ ）,,选项 C ,,,,,,,
卢梭称《社会契约论》这本书是一篇（ ）,,选项 C ,,,,,,,
卢梭在1762年说《社会契约论》“不值得奉献于公众”，但在二十七年之后，（ ）一爆发，这边“简短的论文”变得家喻户晓，广为人知。,,选项 A ,,,,,,,
《社会契约论》这本书为法国大革命时期的人们提供了推翻（ ）和建立民主制度的理论武器。,,选项 C ,,,,,,,
当时卢梭热爱的日内瓦共和国对卢梭的《社会契约论》的态度是（ ）,,选项 D ,,,,,,,
世所公认卢梭的（   ）对法国大革命的爆发和发展起到了催化和推动作用。,,选项 D ,,,,,,,
“欧洲学界如旱地起一霹雳，如暗界放一光明，风驰云卷，仅十余年，遂有法国大革命之事”是（ ）对《社会契约论》的描述。,,选项 B ,,,,,,,
卢梭在《社会契约论》的“小引”中所说的那部分“内容极为广泛的著作”指的是（ ）,,选项 C ,,,,,,,
“《民约论》，法国大革命之原动力也；法国大革命，十九世纪全世界之原动力也。”指的那本著作（ ）,,选项 B ,,,,,,,
卢梭在《忏悔录》中提到“由于我从历史的角度去研究伦理学，我的眼界便大为开阔”，所以他发现，所有一切问题的根子，都出在（ ）。,,选项 D ,,,,,,,
卢梭认为“怎样才是一个尽可能好的政府”这个问题，可以归纳成：“什么性质的政府才能培养出最有道德、最贤明和心胸最豁达的（ ）？”。,,选项 A ,,,,,,,
卢梭在（ ）一书中，提出了与《社会契约论》极其相似的问题：“什么样的政府才能由于它的本性驱使，行事处处都合乎法律？”,,选项 B ,,,,,,,
卢梭当初写《政治制度论》的主旨，以及火来的《社会契约论》反复发挥的理论，都集中在解决一个他比喻为“（ ）问题，即如何找到一个能把法律置于一切人之上的政府形式”。,,选项 C ,,,,,,,
《社会契约论》第3卷着重论述的问题是（ ）,,选项 C ,,,,,,,
《社会契约论》中对政府的形式问题进行了论述，后来，他在（ ）又对“政府这个词的确切意义”做了解说，词句更加简明。,,选项 B ,,,,,,,
卢梭在《社会契约论》第3卷第（ ）章特别提请读者注意“本章必须仔细阅读”,,选项 D ,,,,,,,
卢梭在法国政府的禁令下，没有害怕，没有退缩，终于在（ ）年将《社会契约论》“奉献于公众”。,,选项 C ,,,,,,,
卢梭为了揭示真理，付出了（ ），有着长达8年之久的流亡生活。直至去世时，他的身份依然是一个负案在逃的犯人。,,选项 A ,,,,,,,
路易十四说“朕即国家”，而卢梭在《社会契约论》中提出政府的（ ），是向国王挑战。,,选项 D ,,,,,,,
历史是公正的，人们对卢梭这位为（ ）而著书立说的作者怀着钦敬和感激之情的。,,选项 C ,,,,,,,
《社会契约论》的定稿本藏于巴黎法国国家图书馆，通称（ ）,,选项 C ,,,,,,,
《社会契约论》出版于1762年4月，一个月后（ ）出版,,选项 D ,,,,,,,
《社会契约论》有两个稿本：一个初稿本，一个（ ）,,选项 D ,,,,,,,
《社会契约论》的初稿本和定稿本没有理论陈述上的重大差别，只是在（   ）有几处变动,,选项 D ,,,,,,,
卢梭的《社会契约论》的给雷伊的定稿中删去了（ ）的问题，开机印刷后，这部分材料加以修改，加上标题，排在了第四卷。,,选项 C ,,,,,,,
《社会契约论》的定稿中（ ）被完全删去，有人认为是由于这章内容是对狄德罗的《自然权利》的批驳。,,选项 C ,,,,,,,
《社会契约论》初稿中《论人类的普遍社会》对了解人类（ ）的起源有着一定的作用。,,选项 D ,,,,,,,
（ ）中的《游历》是《社会契约论》的撮要。,,选项 B ,,,,,,,
《爱弥儿》中的( )的主要内容大部分摘自《社会契约论》，实际上是《社会契约论》的节略本或通俗本。,,选项 A ,,,,,,,
《爱弥儿》讲述的是老师带着他的学生爱弥儿去遍游欧洲，考察各国风土人情的差异和（ ）的良莠。,,选项 C ,,,,,,,
卢梭认为“要真正研究一个民族的天才和风尚，应当到（ ）的省份”。,,选项 D ,,,,,,,
《游历》的文字十分畅晓，用（ ）的形式启发人们对许多艰深的政治问题进行深入的思考，对阅读《社会契约论》原书是很有用的。,,选项 A ,,,,,,,
卢梭是从什么角度探讨在社会秩序中寻找合理的政府行为的规则的？,,选项 D ,,,,,,,
卢梭以什么身份论述政治问题？,,选项 C ,,,,,,,
卢梭言“生为一个自由的国家的公民”，“自由国家”指的是（  ）,,选项 A ,,,,,,,
日内瓦的大议会由（  ）组成,,选项 B ,,,,,,,
